Country,Year,Rank,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','L1: Literacy rate adult','A1: Exports and imports','A2: Foreign direct investment net inflows','R1: Life expectancy at birth','R2: Life expectancy Index','U1: Unemployment total',Outlier,ExtremeValue
Fiji,2010,74th,Warning,6.8,8.2,7.4,6.7,7.5,6.6,8.9,5.5,6.7,5.9,4.2,6.1,92.6,79.3,2.5,59.6,0.61,5.3,no,yes
Finland,2010,176th,Sustainable,1,1,1.2,3,1.7,2.2,0.7,1.2,1.5,2.3,1.7,1.8,99.8,75.4,7.9,71.5,0.792,12.7,no,yes
France,2010,159th,Sustainable,1.6,2,5.6,3.6,5.3,1.8,1.8,1.5,2.7,3.7,3.1,2.2,83.25,52.8,0.2,80.1,0.925,3.5,no,no
Gabon,2010,98th,Warning,5.7,7.2,3,5.9,7.9,6.4,7.8,6.6,6.4,7,5.9,5.5,94.5,73.1,7.8,61,0.631,4.3,no,yes
Gambia,2010,75th,Warning,5.8,6.2,4.6,7.5,6.8,6.2,7.6,7.2,7.4,7.6,6,7.3,83.25,62.1,2,80.5,0.931,4.4,no,no
Georgia,2010,37th,Alert,8,9.1,8.4,6.5,7.2,5.8,9,6.4,7.3,6.2,7.8,8.7,83.25,73.5,1.5,72.9,0.813,11.7,no,no
Germany,2010,157th,Sustainable,2.2,2,4.7,3.6,4.7,2.6,2.1,1.7,2.3,3.3,4,2.2,83.25,50.1,3.1,71.5,0.792,15.6,no,no
Ghana,2010,122nd,Warning,2.6,4.2,5.2,5.8,6.4,7.9,5.1,7.6,4.7,7.1,5.3,5.2,83.25,130.5,8.7,56.9,0.567,4.1,no,no
Greece,2010,147th,Stable,3.4,2.4,4.2,4.3,4.6,4.5,4.6,3.7,3.4,4.5,2.8,3.5,83.25,80.1,2.7,54.6,0.533,4.3,no,no
Grenada,2010,123rd,Warning,5.4,5.8,4.2,6.1,6.7,7.6,6.4,3.9,4.6,5.8,2.9,7.6,61.3,109.4,3.9,68.1,0.739,11.2,no,yes
Guatemala,2010,72nd,Warning,7.2,6.3,6.8,6.9,8,6.7,7.1,6.8,6.9,7.4,5.6,5.5,93.1,404.8,36.2,60.5,0.623,7.6,no,yes
Guinea,2010,9th,Alert,9.4,9.3,8.2,8.9,8.7,8.6,9.8,9,9.5,8.3,7.5,7.8,83.25,158.4,-16,73.3,0.82,2.4,yes,no
