Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,L1: Literacy rate adult,A1: Exports and imports,A2: Foreign direct investment net inflows,R1: Life expectancy at birth,R2: Life expectancy Index,U1: Unemployment total
Lithuania,2010,146th,47.8,2.2,3.2,4,5.7,6,5,3.9,3.2,3.3,4.3,2.9,4.1,,60.8,2,80.9,0.936,19.7
Luxembourg,2010,168th,27.3,2.1,3.6,3.2,2.8,2.3,1.2,2.7,2.2,1.3,1.9,1.7,2.3,94,87.9,4.1,62.5,0.654,3.8
Macedonia,2010,103rd,72.7,5.6,6.5,7.6,6.6,7.1,6.7,6.9,4.6,5.1,4.8,4.6,6.6,,,,,,
Madagascar,2010,64th,82.6,6.4,7.7,5.4,7.2,7.7,5.3,7.1,8.6,5.8,8.6,4.8,8,,103.3,23.5,73.5,0.822,0.9
Malawi,2010,28th,93.6,5.4,7.8,6.2,9.2,8.3,8.4,8.1,8.6,7.3,9.2,6.5,8.6,95.9,99.8,18.3,75.1,0.847,22.1
Malaysia,2010,110th,69.2,5.9,6.3,6.6,5.1,7,3.9,5.9,5,6.8,6.3,5,5.4,,75.2,1.3,66.5,0.715,1.5
Maldives,2010,84th,78.3,6.1,7.4,5.2,7,5.3,7.1,7.3,7.1,7.3,6.3,6.4,5.8,92.9,77.7,12.4,69.6,0.763,4.5
Mali,2010,78th,79.3,7,4,6.3,8.1,7,7.5,5.4,8.5,5,8.7,4.8,7,97.7,0.2,1.8,67.4,0.729,6.6
Malta,2010,145th,48.2,4,2,4.2,4.2,4.4,4.1,4.1,3.2,3.7,3.7,5.8,4.8,91.2,108.4,2.5,75.2,0.848,7.8
Mauritania,2010,39th,89.1,7.9,7.9,8,7.7,6.8,5.2,7.5,8.3,7.3,8.5,6.4,7.6,94.7,46,0.5,52.3,0.497,3.8
Mauritius,2010,150th,44.4,3.7,3.3,3.5,4.1,5.7,2.6,5.1,4.2,3.7,3.7,1.2,3.6,,131.5,13.7,63.5,0.67,32
Mexico,2010,96th,76.1,7.5,5.5,5.8,6.5,8,6.8,6.6,5.8,5.8,6.8,4.1,6.9,96.4,100.4,5.6,67.6,0.732,4.7
Micronesia,2010,108th,70.6,5.1,5.5,4.5,6.4,6.8,8.1,6.6,6.6,2.8,7,3.1,8.1,58.3,71.3,13.9,80.8,0.935,0.7
Moldova,2010,58th,83.8,7.8,8,6.9,7,6.8,7.8,7.9,6.7,6.8,6.4,4.3,7.4,,43.3,1.7,80.9,0.936,23.7
Mongolia,2010,129th,60.1,4.8,5.3,4.3,5.7,5.9,2.3,6.2,5.3,6.4,5.6,1.4,6.9,,97.9,3.2,72.4,0.807,3.7
Montenegro,2010,134th,57.3,4.5,5.9,6.6,4.9,4.4,2.7,4.5,3.8,5.3,4.9,4.2,5.6,98.7,68.2,5,57.3,0.574,2
Morocco,2010,90th,77,5.4,6.2,6.6,6.5,7.6,6.4,7.2,6.6,6.8,6.8,6.6,4.3,79.1,106.9,2.1,50.9,0.475,4.6
Mozambique,2010,69th,81.7,6.2,5.4,4.8,7.8,7.5,7.8,7.5,8.9,7.3,8.8,3.5,6.2,92.7,32.9,1.1,74.7,0.841,3.5
Myanmar,2010,16th,99.4,8.2,8.2,8.7,8.2,9.3,6.3,9.6,8.5,9.1,8.5,8.3,6.5,,123.9,1.5,81.2,0.941,3.6
Namibia,2010,100th,74.5,5.6,3.7,5.6,6.5,8.9,7.5,4.8,6.9,5.8,7.5,5.7,6,73.2,74.4,2,75.7,0.857,9.6
Nepal,2010,26th,95.4,7.7,8.5,9.2,8.3,9,6.2,8.1,7.6,8.7,8.1,7,7,,,0.2,71.5,0.793,0.5
Netherlands,2010,166th,27.9,1.1,1.7,4.7,3,3.2,1.9,1.2,1.5,1.3,2.7,3.2,2.4,,78,2,72.8,0.812,7
New Zealand,2010,171st,23.9,1.1,1.2,3.3,4,4.3,2.1,1,1.6,1.5,1.5,1.4,0.9,98.1,51.7,5.7,76.8,0.874,7.4
Nicaragua,2010,65th,82.5,6.5,7,6.3,7.9,7.9,6.9,7.6,7.6,6.2,6.8,5,6.8,,71.4,0.5,62,0.647,1.1
Niger,2010,19th,97.8,7.3,7.6,8,9.2,7.8,6.5,8.9,9.7,8.5,9.6,6.5,8.2,,82.1,3.8,72.7,0.81,17.2
Nigeria,2010,14th,100.2,9.3,9.4,9.5,6.9,9.3,8.1,9.4,9.1,8.8,8.4,5.8,6.2,,67.3,3.5,74.4,0.837,19.9
North Korea,2010,19th,97.8,8.1,7.8,7.2,9.6,8.8,5,9.9,9.6,9.5,8.5,5.6,8.2,,,,,,
Norway,2010,177th,18.7,1.2,1.1,1.3,2.6,2.4,1.2,0.8,1.1,1.6,1.7,1.6,2.1,83,71.2,1.9,76.3,0.867,13.7
Oman,2010,144th,48.7,5.2,6.6,3,4.5,2.7,1.7,6,4.5,6.7,4.7,1.1,2,,50.4,2.8,80,0.923,5.6
Pakistan,2010,10th,102.5,9.7,9.5,9.4,6.2,8.4,7.9,8.9,7.3,8.9,8.1,8.9,9.3,,75.6,15.2,74.1,0.832,19.2
Panama,2010,130th,59.3,5.2,3,4.4,5.6,7.5,5,4.8,5.5,4.5,6.3,3.5,4,,83.1,-0.2,72.9,0.814,14.4
Papua New Guinea,2010,56th,83.9,6.5,7.1,7.1,6.3,9,7.7,7.8,8.3,6.3,7.5,4.2,6.1,,82.5,25.6,74.9,0.844,7.2
Paraguay,2010,106th,72.1,5.9,7.5,6.3,6.2,8,5.8,8.3,5.8,6.7,6.2,1.5,3.9,,51.9,5.5,71.8,0.797,1.7
Peru,2010,92nd,76.9,7.4,6.9,6.7,5.6,8,7,6.9,6.5,5.5,6.4,4.5,5.5,,76.7,1.7,71.7,0.795,14.6
Philippines,2010,51st,87.1,7.9,8,7.6,5.8,7.4,7,8.6,6.3,7.5,7.7,6.7,6.6,,201.9,4,67.4,0.73,24.7
Poland,2010,142nd,49,2.4,3.7,3.3,5,4.8,5.9,4.5,3.7,3.8,4.7,3.2,4,,51.3,16.5,73.9,0.83,13.1
Portugal,2010,162nd,33.1,1.4,1.2,2.6,4.7,3.7,2.2,1.9,3.6,3.5,3.7,1.8,2.8,,369.7,9.2,64.3,0.681,19.9
Qatar,2010,139th,51.8,2.7,5,5.2,4.1,5.3,3.4,6.3,2.6,4.7,4.5,3,5,,154.1,23,74.1,0.832,4.9
Romania,2010,128th,60.2,4.1,5.2,5.6,5.6,5.6,4.9,6,4.8,4.3,5.4,3.2,5.5,,130.5,0.7,49.4,0.452,7.2
Russia,2010,80th,79,6.8,7.6,7.1,5.1,7.9,6,8.1,5.5,8,6.7,5.4,4.8,,,24.4,81.8,0.951,8.6
Rwanda,2010,40th,88.7,5,8,8.5,7,7.2,7,7.5,7.4,7.5,9.1,7,7.5,,56,,75.5,0.854,4.8
Samoa,2010,107th,71.1,5.8,5.3,5.1,6.2,6.6,8,6.4,5.1,4.5,6.9,3.1,8.1,,37,0.8,57.7,0.58,0.6
Sao Tome and Principe,2010,97th,75.8,6,6.7,5.1,7.3,5.9,7,7.3,7.3,5.1,7.5,4.1,6.5,,91,3.1,54.8,0.535,3.3
Saudi Arabia,2010,87th,77.5,7.8,7.8,7.8,3.1,7.3,3.5,8.2,4.1,9.1,6.3,6.2,6.3,,86.8,-5.7,81.9,0.952,1.9
Senegal,2010,99th,74.6,6.3,4.2,6.1,6.2,7,5.8,5.9,7.4,6,7.6,6.2,5.9,,117.3,0.1,75.4,0.853,1.2
Serbia,2010,86th,77.8,6.5,8,7.8,6.2,6.9,5.3,6.8,5.2,5.6,5.6,6.9,7,,,3,62.8,0.658,3.8
Seychelles,2010,115th,67.9,5.6,6,5,5.8,6.9,4.5,7,4.5,5.9,6.1,4.3,6.3,,73.5,,70.5,0.776,13.1
Sierra Leone,2010,28th,93.6,5.9,7.8,6.7,8.6,8.8,8.3,7.7,9.1,6.8,9.1,7.1,7.7,,47.6,1.7,81.5,0.946,10.7
Singapore,2010,160th,34.8,1.5,4.1,2.9,3.7,3.1,2.5,4.2,1.7,4.4,2.8,0.9,3,,127.3,5.7,82.3,0.958,4
Slovak Republic,2010,143rd,48.8,2.1,3.9,4.8,5,5.6,5.2,4.1,3.8,3.8,4.1,2.2,4.2,,150.9,4.3,72.1,0.802,3.7
Slovenia,2010,156th,36,2.8,1.3,3.4,4,5,3.3,2.8,3,3,3.4,1.4,2.6,,90.3,0.8,68.7,0.75,8.1
Solomon Islands,2010,43rd,88.6,7,8,7,8,7.9,5.4,8.1,8.2,6.8,8.3,4.8,9.1,,104.1,1.3,74.2,0.834,7.8
Somalia,2010,1st,114.3,10,10,9.7,9.6,8,8.3,10,9.6,9.9,9.6,10,9.6,,45.9,2.5,67.2,0.726,9.6
South Africa,2010,115th,67.9,4.1,5.9,5.6,5,8.5,4.4,5.8,5.5,4.7,8.4,7,3,,96.9,3,57.5,0.576,7.2
South Korea,2010,153rd,41.3,1.5,3.6,3.9,2.8,2.5,4.8,3.9,2.3,2.8,3.6,3.3,6.3,,,,,,
Spain,2010,151st,43.5,5.3,5.7,6.3,4.4,5,1.8,1.6,2.4,2.5,3.7,2.8,2,,141.3,1.4,75,0.847,8.5
Sri Lanka,2010,25th,95.7,8.5,9.4,9.6,5.9,8.7,6.7,8.6,6.4,8.8,7.3,9.4,6.4,,58.5,2.7,74.5,0.839,1.1
Sudan,2010,3rd,111.8,9.8,9.9,9.9,6.7,9.5,8.7,9.9,9.3,9.9,8.8,9.8,9.6,,51.7,3,57.1,0.571,13.2
Suriname,2010,105th,72.5,6,5.8,6.4,6.6,7.7,6.7,6.5,5.1,5.8,6,3.7,6.2,,59.3,2.7,69.4,0.759,5.1
